GEOID,STATEFP,COUNTYFP,pc_park
01055010700,01,055,4.423
01055001300,01,055,3.706
01055000900,01,055,1.037
01055001700,01,055,0.51
01055010501,01,055,9.279
01055010300,01,055,0
01055000600,01,055,0.795
01055010502,01,055,2.098
01055010100,01,055,0.041
01055000300,01,055,0.51
01055000700,01,055,3.017
01055001600,01,055,15.63
01055000400,01,055,5.548
01055000800,01,055,10.283
01055001100,01,055,18.567
01055010900,01,055,0
01107050400,01,107,2.571
01113030402,01,113,3.634
01107050000,01,107,0
01107050300,01,107,0
01107050100,01,107,0
01107050200,01,107,0.269
01127020100,01,127,0.081
01127021500,01,127,0
01127020800,01,127,0
01127021200,01,127,5.185
01127021700,01,127,0.033
01127021600,01,127,1.148
01127021900,01,127,0.045
01127020300,01,127,0.285
01001020802,01,001,0.059
01045020802,01,045,0
01045020000,01,045,0
01077011102,01,077,0
01127021400,01,127,0.372
01127020600,01,127,0.419
01127021800,01,127,0.011
01127021000,01,127,0
01127020700,01,127,0
01127020900,01,127,0.002
01127020200,01,127,0.557
01127021100,01,127,0
01127021300,01,127,19.317
01127020400,01,127,2.429
01067030400,01,067,0.073
01067030600,01,067,0.082
01067030500,01,067,0.116
01067030300,01,067,6.222
01067030100,01,067,0.075
01067030200,01,067,0
01013952900,01,013,0
01125011902,01,125,1.331
01125011402,01,125,1.264
01077010300,01,077,4.311
01077010700,01,077,12.141
01077010900,01,077,3.049
01077011000,01,077,2.209
01025958001,01,025,0
01043965402,01,043,0.619
01013953200,01,013,0.028
01013953500,01,013,0.017
01013953000,01,013,0.009
01013953300,01,013,0
01013952700,01,013,0
01013953100,01,013,0.3
01013953400,01,013,0.035
01097003902,01,097,0.254
01027958900,01,027,30.795
01027959200,01,027,27.424
01027959100,01,027,0
01097000500,01,097,1.399
01097003301,01,097,3.437
01097006402,01,097,1.756
01097007102,01,097,0.393
01073002100,01,073,26.036
01115040201,01,115,2.489
01115040502,01,115,0
01111000300,01,111,1.94
01111000400,01,111,0.003
01111000500,01,111,0.101
01097000800,01,097,3.963
01097003204,01,097,1.892
01097002301,01,097,0.713
01117030314,01,117,1.119
01117030317,01,117,4.24
01117030319,01,117,0.3
01081040300,01,081,3.361
01097002302,01,097,3.487
01097006902,01,097,0.148
01081040700,01,081,0
